Time,Stock_ID,Volume,Open,High,Low,Close,Foreign_Net_Volume,Domestic_Net_Volume,Net_Margin
2018-08-24,4133,40.0,36.55,36.75,36.0,36.2,0.0,0.0,0.0
2018-08-27,4133,17.12,36.5,36.5,36.0,36.5,10.0,0.0,-2.0
2018-08-28,4133,28.04,37.0,37.0,36.2,36.35,5.0,0.0,1.0
2018-08-29,4133,19.11,36.55,36.55,36.0,36.25,0.0,0.0,4.0
2018-08-30,4133,25.0,36.4,36.4,36.0,36.1,0.0,0.0,14.0
2018-08-31,4133,12.02,36.15,36.15,35.5,35.9,0.0,0.0,-2.0
2018-09-03,4133,46.65,36.3,36.4,35.25,35.25,-20.0,0.0,10.0
2018-09-04,4133,34.75,35.6,35.6,35.0,35.2,-5.0,0.0,1.0
2018-09-05,4133,44.17,35.2,35.25,34.85,35.15,0.0,0.0,2.0
2018-09-06,4133,3.0,35.25,35.25,35.2,35.2,-1.0,0.0,1.0
2018-09-07,4133,30.6,35.2,36.1,34.85,34.9,-3.0,0.0,1.0
2018-09-10,4133,14.0,34.9,34.9,34.5,34.65,2.0,0.0,-3.0
2018-09-11,4133,120.22,35.95,36.3,35.15,35.3,0.0,0.0,17.0
2018-09-12,4133,53.18,35.9,36.1,35.3,35.45,0.0,0.0,7.0
2018-09-13,4133,27.0,35.8,35.8,35.4,35.6,5.0,0.0,1.0
2018-09-14,4133,45.0,35.75,35.75,35.2,35.25,-1.0,0.0,-9.0
2018-09-17,4133,58.0,35.4,35.4,34.75,35.3,0.0,0.0,0.0
2018-09-18,4133,22.04,35.2,35.2,34.55,34.85,0.0,0.0,3.0
2018-09-19,4133,17.09,35.05,35.05,34.75,35.0,5.0,0.0,0.0
2018-09-20,4133,11.0,35.0,35.0,34.75,34.9,0.0,0.0,-2.0
2018-09-21,4133,24.04,34.95,34.95,34.6,34.8,1.0,0.0,1.0
2018-09-25,4133,2.11,34.9,35.7,34.9,35.7,0.0,0.0,-1.0
2018-09-26,4133,5.09,34.95,34.95,34.9,34.9,0.0,0.0,1.0
2018-09-27,4133,23.28,35.05,35.05,34.4,34.9,1.0,0.0,0.0
2018-09-28,4133,53.95,34.55,34.7,34.2,34.25,-1.0,0.0,3.0
2018-10-01,4133,54.13,34.35,34.35,34.0,34.3,0.0,0.0,1.0
2018-10-02,4133,31.66,34.3,34.35,33.9,34.2,-3.0,0.0,1.0
2018-10-03,4133,27.13,34.35,34.35,33.8,33.9,0.0,0.0,1.0
2018-10-04,4133,44.36,34.35,34.35,33.7,34.0,16.0,0.0,-9.0
2018-10-05,4133,40.43,34.65,34.65,33.7,34.05,14.0,0.0,-3.0
2018-10-08,4133,43.17,34.0,34.8,33.95,33.95,13.0,0.0,-3.0
2018-10-09,4133,17.73,34.0,34.0,33.5,33.55,0.0,0.0,-1.0
2018-10-11,4133,135.31,33.2,33.45,30.2,30.2,-28.0,0.0,-22.0
2018-10-12,4133,176.04,28.6,30.8,28.55,29.4,-13.0,0.0,-59.0
2018-10-15,4133,29.0,29.05,29.6,29.05,29.1,-3.0,0.0,-2.0
2018-10-16,4133,35.13,29.8,29.8,29.35,29.5,15.0,0.0,0.0
2018-10-17,4133,88.08,30.5,30.5,29.0,29.65,22.0,0.0,-2.0
2018-10-18,4133,20.43,30.3,30.3,29.6,29.7,9.0,0.0,-1.0
2018-10-19,4133,10.0,29.2,29.6,29.0,29.25,0.0,0.0,3.0
2018-10-22,4133,39.01,29.6,29.75,29.25,29.5,7.0,0.0,-2.0
2018-10-23,4133,71.04,31.0,31.0,29.65,29.85,2.0,0.0,-2.0
2018-10-24,4133,31.0,29.3,30.2,29.15,29.75,0.0,0.0,5.0
2018-10-25,4133,75.03,29.75,29.75,27.65,29.0,0.0,0.0,28.0
2018-10-26,4133,29.08,28.6,29.35,28.5,29.0,18.0,0.0,-6.0
2018-10-29,4133,9.0,29.7,29.7,28.65,29.2,0.0,0.0,0.0
2018-10-30,4133,28.0,29.3,29.3,28.15,28.6,-7.0,0.0,1.0
2018-10-31,4133,5.0,28.9,29.1,28.6,28.95,0.0,0.0,-1.0
2018-11-01,4133,31.0,28.6,29.15,28.55,28.95,0.0,0.0,-2.0
2018-11-02,4133,50.08,28.75,29.7,28.75,29.25,-4.0,0.0,-10.0
2018-11-05,4133,98.86,28.85,29.6,28.55,28.7,-43.0,0.0,0.0
2018-11-06,4133,32.67,29.05,29.1,28.75,29.0,24.0,0.0,-7.0
2018-11-07,4133,31.74,29.35,29.7,29.1,29.6,14.0,0.0,-4.0
2018-11-08,4133,15.04,29.75,29.75,29.4,29.75,9.0,0.0,-2.0
2018-11-09,4133,35.25,29.6,29.7,29.6,29.7,20.0,0.0,-3.0
2018-11-12,4133,9.01,29.8,29.8,29.15,29.6,1.0,0.0,2.0
2018-11-13,4133,9.1,29.05,29.4,29.05,29.4,0.0,0.0,0.0
2018-11-14,4133,30.0,29.0,29.35,29.0,29.35,18.0,0.0,0.0
2018-11-15,4133,14.0,29.55,29.55,29.3,29.3,11.0,0.0,-1.0
2018-11-16,4133,17.04,29.9,29.9,29.05,29.75,11.0,0.0,-3.0
2018-11-19,4133,39.07,29.6,30.0,29.6,29.9,9.0,0.0,-3.0
2018-11-20,4133,5.0,30.0,30.0,29.6,29.6,0.0,0.0,0.0
2018-11-21,4133,16.08,30.25,30.25,29.5,29.8,3.0,0.0,1.0
2018-11-22,4133,8.0,30.0,30.0,29.35,29.8,0.0,0.0,-2.0
2018-11-23,4133,10.0,30.0,30.0,29.8,29.85,-2.0,0.0,0.0
2018-11-26,4133,12.04,29.85,29.95,29.5,29.95,5.0,0.0,-2.0
2018-11-27,4133,15.08,29.7,29.9,29.6,29.85,-4.0,0.0,3.0
2018-11-28,4133,15.21,29.95,29.95,29.65,29.9,1.0,0.0,1.0
2018-11-29,4133,25.13,29.95,29.95,29.75,29.95,-1.0,0.0,11.0
2018-11-30,4133,25.69,29.8,30.05,29.75,30.05,-1.0,0.0,0.0
2018-12-03,4133,62.04,30.0,30.2,29.75,29.85,-27.0,0.0,0.0
2018-12-04,4133,26.04,29.7,30.0,29.65,29.95,-14.0,0.0,4.0
2018-12-05,4133,24.0,30.0,30.0,29.8,30.0,0.0,0.0,13.0
2018-12-06,4133,26.0,30.0,30.0,29.5,29.8,-5.0,0.0,6.0
2018-12-07,4133,18.0,30.0,30.0,29.55,29.55,0.0,0.0,-7.0
2018-12-10,4133,33.0,29.6,30.1,29.35,29.7,0.0,0.0,1.0
2018-12-11,4133,5.04,29.95,29.95,29.35,29.9,0.0,0.0,1.0
2018-12-12,4133,42.01,29.75,29.75,29.45,29.7,0.0,0.0,7.0
2018-12-13,4133,22.0,29.8,29.8,29.35,29.8,0.0,0.0,3.0
2018-12-14,4133,33.06,29.5,29.7,29.3,29.45,0.0,0.0,4.0
2018-12-17,4133,21.3,29.8,29.8,29.2,29.55,0.0,0.0,3.0
2018-12-18,4133,13.0,29.3,29.4,29.2,29.2,0.0,0.0,4.0
2018-12-19,4133,35.3,29.05,29.25,29.05,29.05,-12.0,0.0,10.0
2018-12-20,4133,30.74,29.15,29.15,28.8,29.15,0.0,0.0,3.0
2018-12-21,4133,6.28,29.15,29.35,28.95,29.2,0.0,0.0,-2.0
2018-12-22,4133,19.0,29.0,29.2,28.9,29.15,0.0,0.0,6.0
2018-12-24,4133,53.0,29.1,29.65,28.85,29.4,0.0,0.0,-12.0
2018-12-25,4133,4.0,29.05,29.25,29.05,29.25,0.0,0.0,0.0
2018-12-26,4133,8.0,29.95,29.95,29.15,29.4,0.0,0.0,0.0
2018-12-27,4133,29.07,29.5,29.6,29.15,29.4,0.0,0.0,5.0
2018-12-28,4133,64.22,29.55,30.0,29.35,30.0,0.0,0.0,-16.0
2019-01-02,4133,36.0,30.35,30.35,29.3,29.3,0.0,0.0,1.0
2019-01-03,4133,15.01,29.65,29.7,29.35,29.35,0.0,0.0,-1.0
2019-01-04,4133,15.18,29.5,29.5,29.1,29.4,2.0,0.0,-3.0
2019-01-07,4133,21.08,29.6,29.6,29.2,29.35,-6.0,0.0,0.0
2019-01-08,4133,87.43,29.15,29.85,29.15,29.3,-2.0,0.0,-3.0
2019-01-09,4133,32.09,29.5,29.95,29.35,29.5,1.0,0.0,-2.0
2019-01-10,4133,42.0,29.6,29.6,29.3,29.4,-2.0,0.0,1.0
2019-01-11,4133,68.0,29.3,29.4,28.85,29.2,-3.0,0.0,1.0
2019-01-14,4133,21.0,29.15,29.45,28.8,29.1,-2.0,0.0,1.0
2019-01-15,4133,40.5,29.15,29.15,28.7,28.9,-1.0,0.0,-10.0
2019-01-16,4133,28.43,29.0,29.0,28.5,28.85,-7.0,0.0,1.0
2019-01-17,4133,15.0,28.9,28.9,28.55,28.75,-1.0,0.0,-1.0
2019-01-18,4133,25.3,28.55,28.75,28.5,28.7,0.0,0.0,3.0
2019-01-21,4133,29.13,28.5,28.8,28.5,28.8,0.0,0.0,5.0
2019-01-22,4133,18.58,28.85,28.85,28.5,28.55,0.0,0.0,7.0
2019-01-23,4133,72.01,28.5,28.55,28.2,28.35,0.0,0.0,-13.0
2019-01-24,4133,23.23,28.4,28.5,28.25,28.5,0.0,0.0,0.0
2019-01-25,4133,61.08,28.65,28.65,28.2,28.4,0.0,0.0,4.0
2019-01-28,4133,209.13,28.4,29.6,28.2,29.4,0.0,0.0,46.0
2019-01-29,4133,313.0,29.7,30.75,28.85,28.85,3.0,0.0,-54.0
2019-01-30,4133,47.01,28.95,29.1,28.7,28.7,0.0,0.0,-5.0
2019-02-11,4133,101.01,28.8,29.3,28.6,29.0,-33.0,0.0,-11.0
2019-02-12,4133,44.06,28.85,29.25,28.85,29.1,0.0,0.0,-4.0
2019-02-13,4133,40.44,29.15,29.35,29.0,29.2,0.0,0.0,-5.0
2019-02-14,4133,83.02,29.7,29.7,29.3,29.65,25.0,0.0,-8.0
2019-02-15,4133,226.35,29.9,31.9,29.85,31.0,3.0,0.0,29.0
2019-02-18,4133,171.11,31.0,32.4,31.0,31.7,-11.0,0.0,-4.0
2019-02-19,4133,219.15,32.05,32.3,31.5,32.1,128.0,0.0,-29.0
2019-02-20,4133,105.1,32.45,33.3,32.25,32.7,21.0,0.0,12.0
2019-02-21,4133,69.09,32.65,32.65,32.0,32.3,11.0,0.0,11.0
2019-02-22,4133,57.1,32.65,32.65,32.0,32.0,21.0,0.0,3.0
2019-02-25,4133,26.2,32.0,32.4,32.0,32.1,13.0,0.0,-2.0
2019-02-26,4133,85.27,32.0,32.2,32.0,32.15,55.0,0.0,-8.0
2019-02-27,4133,72.1,32.2,32.5,32.1,32.1,-3.0,0.0,9.0
2019-03-04,4133,71.08,32.1,32.45,32.1,32.45,52.0,0.0,-1.0
2019-03-05,4133,69.06,32.1,32.4,32.1,32.35,48.0,0.0,-14.0
2019-03-06,4133,52.08,32.3,32.8,32.3,32.7,21.0,0.0,12.0
2019-03-07,4133,87.06,32.7,32.9,32.6,32.75,27.0,0.0,28.0
2019-03-08,4133,54.15,32.75,32.85,32.7,32.7,18.0,0.0,14.0
2019-03-11,4133,39.06,32.7,32.8,32.2,32.5,19.0,0.0,-1.0
2019-03-12,4133,64.24,32.5,32.75,32.5,32.6,28.0,0.0,7.0
2019-03-13,4133,79.27,32.65,32.65,31.65,32.35,-4.0,0.0,-5.0
2019-03-14,4133,34.38,31.9,32.4,31.0,31.3,-1.0,0.0,7.0
2019-03-15,4133,32.14,31.2,31.55,30.75,31.0,-1.0,0.0,1.0
2019-03-18,4133,112.14,31.0,32.3,31.0,31.9,3.0,0.0,21.0
2019-03-19,4133,94.15,32.2,32.2,31.15,31.25,-30.0,0.0,6.0
2019-03-20,4133,54.15,31.0,31.4,30.6,31.2,3.0,0.0,19.0
2019-03-21,4133,45.06,31.05,31.1,30.5,31.1,-5.0,0.0,0.0
2019-03-22,4133,9.01,31.3,31.3,30.7,30.85,0.0,0.0,0.0
2019-03-25,4133,44.39,30.5,30.65,30.0,30.35,-1.0,0.0,1.0
2019-03-26,4133,38.16,30.6,30.9,30.4,30.4,0.0,0.0,-4.0
2019-03-27,4133,16.82,30.9,30.9,30.3,30.9,-1.0,0.0,0.0
2019-03-28,4133,13.21,30.35,31.3,30.35,31.3,1.0,0.0,-2.0
2019-03-29,4133,21.06,31.3,31.3,30.7,30.95,1.0,0.0,0.0
2019-04-01,4133,50.05,31.2,31.2,30.55,30.8,-1.0,0.0,10.0
2019-04-02,4133,20.13,30.8,30.8,30.3,30.6,1.0,0.0,3.0
2019-04-03,4133,32.04,30.6,31.45,30.6,31.0,1.0,0.0,6.0
2019-04-08,4133,27.22,31.3,31.3,30.55,30.8,0.0,0.0,2.0
2019-04-09,4133,20.04,30.9,31.0,30.6,30.6,0.0,0.0,0.0
2019-04-10,4133,50.0,30.95,30.95,30.45,30.45,0.0,0.0,8.0
2019-04-11,4133,30.04,31.45,31.45,30.4,30.4,0.0,0.0,-12.0
2019-04-12,4133,70.14,30.7,30.7,30.05,30.1,-4.0,0.0,-12.0
2019-04-15,4133,159.96,31.0,31.0,30.3,30.5,-1.0,0.0,-3.0
2019-04-16,4133,37.08,30.55,30.55,30.1,30.1,-1.0,0.0,5.0
2019-04-17,4133,61.41,30.0,30.95,30.0,30.95,15.0,0.0,0.0
2019-04-18,4133,47.05,31.0,31.0,30.4,30.5,-9.0,0.0,1.0
2019-04-19,4133,37.01,30.75,30.75,30.2,30.3,-4.0,0.0,0.0
2019-04-22,4133,44.08,30.6,30.6,30.2,30.3,0.0,0.0,11.0
2019-04-23,4133,23.22,30.15,30.55,30.05,30.05,0.0,0.0,-2.0
2019-04-24,4133,15.82,30.35,30.35,30.1,30.15,0.0,0.0,-1.0
2019-04-25,4133,21.0,30.15,30.5,30.1,30.3,-1.0,0.0,3.0
2019-04-26,4133,29.0,30.9,30.9,30.0,30.0,-2.0,0.0,-3.0
2019-04-29,4133,26.66,30.1,30.4,29.85,29.9,0.66,0.0,1.0
2019-04-30,4133,38.1,29.7,30.0,29.7,29.85,0.0,0.0,2.0
2019-05-02,4133,43.01,30.0,30.2,29.7,29.85,-1.0,0.0,2.0
2019-05-03,4133,21.1,30.65,30.65,29.9,30.05,-1.0,0.0,3.0
2019-05-06,4133,22.07,30.15,30.15,29.6,29.85,-3.0,0.0,-5.0
2019-05-07,4133,40.09,29.85,30.05,29.8,29.8,-1.0,0.0,11.0
2019-05-08,4133,15.0,29.8,30.05,29.7,30.0,0.0,0.0,-2.0
2019-05-09,4133,37.43,29.75,29.9,29.7,29.7,0.0,0.0,11.0
2019-05-10,4133,25.29,29.9,29.9,29.5,29.65,0.0,0.0,-1.0
2019-05-13,4133,69.0,30.6,30.6,29.05,29.05,0.0,0.0,-2.0
2019-05-14,4133,68.1,28.15,28.7,28.0,28.65,0.0,0.0,3.0
2019-05-15,4133,36.1,28.75,28.75,28.15,28.35,-3.0,0.0,11.0
2019-05-16,4133,80.33,28.5,28.6,27.85,27.85,0.0,0.0,-31.0
2019-05-17,4133,33.05,28.3,28.3,27.8,28.15,0.0,0.0,0.0
2019-05-20,4133,35.08,28.0,28.2,27.1,27.5,-1.0,0.0,-16.0
2019-05-21,4133,37.94,27.6,27.9,27.45,27.85,10.0,0.0,-3.0
2019-05-22,4133,40.17,27.75,27.9,27.6,27.8,1.0,0.0,0.0
2019-05-23,4133,12.2,27.8,27.8,27.35,27.6,0.0,0.0,0.0
2019-05-24,4133,12.15,27.6,27.65,27.6,27.6,0.0,0.0,-2.0
2019-05-27,4133,64.48,27.65,27.75,27.15,27.35,0.0,0.0,-20.0
2019-05-28,4133,86.52,27.4,27.4,27.0,27.15,1.0,0.0,-5.0
2019-05-29,4133,52.94,27.15,28.4,27.1,27.65,-4.0,0.0,-2.0
2019-05-30,4133,76.2,27.75,28.1,27.3,27.55,0.0,0.0,16.0
2019-05-31,4133,39.1,27.3,28.0,27.3,27.65,0.0,0.0,-3.0
2019-06-03,4133,111.25,27.7,28.2,27.6,27.85,0.0,0.0,-15.0
2019-06-04,4133,31.0,27.95,27.95,27.6,27.8,3.0,0.0,-11.0
2019-06-05,4133,36.1,28.1,28.1,27.5,27.7,0.0,0.0,-8.0
2019-06-06,4133,15.01,27.75,27.75,27.5,27.6,0.0,0.0,-5.0
2019-06-10,4133,10.0,27.8,27.8,27.5,27.7,-1.0,0.0,0.0
2019-06-11,4133,73.0,27.75,27.9,27.55,27.8,0.0,0.0,-1.0
2019-06-12,4133,54.01,27.85,27.95,27.65,27.95,0.0,0.0,0.0
2019-06-13,4133,36.1,27.75,27.95,27.5,27.75,0.0,0.0,1.0
2019-06-14,4133,13.07,27.5,27.75,27.5,27.6,0.0,0.0,0.0
2019-06-17,4133,26.25,27.5,27.75,27.5,27.75,1.0,0.0,-9.0
2019-06-18,4133,42.0,27.7,27.9,27.4,27.5,0.0,0.0,10.0
2019-06-19,4133,22.13,27.55,27.6,27.4,27.55,3.0,0.0,-1.0
2019-06-20,4133,96.2,27.4,27.85,27.4,27.8,1.0,0.0,-11.0
2019-06-21,4133,46.24,28.15,28.15,27.65,27.8,5.0,0.0,1.0
2019-06-24,4133,11.11,27.65,27.9,27.65,27.9,7.0,0.0,1.0
2019-06-25,4133,21.17,27.9,28.1,27.65,27.75,0.0,0.0,-7.0
2019-06-26,4133,7.3,27.8,28.0,27.65,27.9,0.0,0.0,1.0
2019-06-27,4133,31.14,27.95,27.95,27.7,27.95,1.0,0.0,-5.0
2019-06-28,4133,18.34,28.25,28.25,27.8,28.0,0.0,0.0,1.0
2019-07-01,4133,52.24,28.15,28.2,27.95,28.1,3.0,0.0,5.0
2019-07-02,4133,151.0,28.0,28.6,28.0,28.5,5.0,0.0,25.0
2019-07-03,4133,155.16,28.6,29.35,28.6,28.7,0.0,0.0,-4.0
2019-07-04,4133,57.43,28.8,28.8,28.5,28.65,0.0,0.0,-5.0
2019-07-05,4133,35.5,28.75,29.2,28.7,28.8,0.0,0.0,9.0
2019-07-08,4133,25.0,29.0,29.0,28.7,28.8,0.0,0.0,-9.0
2019-07-09,4133,36.2,28.9,28.9,28.7,28.85,-1.0,0.0,-5.0
2019-07-10,4133,66.26,29.0,29.0,28.5,28.5,-1.0,0.0,2.0
2019-07-11,4133,50.0,28.1,28.8,28.1,28.2,0.0,0.0,1.0
2019-07-12,4133,30.0,28.35,28.35,28.05,28.2,0.0,0.0,1.0
2019-07-15,4133,34.32,28.3,28.35,28.0,28.2,0.0,0.0,6.0
2019-07-16,4133,24.1,28.3,28.45,28.05,28.2,0.0,0.0,-2.0
2019-07-17,4133,10.2,27.95,28.35,27.95,28.35,6.0,0.0,-1.0
2019-07-18,4133,129.44,28.4,29.2,28.2,28.55,0.0,0.0,37.0
2019-07-19,4133,107.98,29.0,29.55,28.75,28.75,0.0,0.0,12.0
2019-07-22,4133,24.09,28.95,28.95,28.6,28.7,0.0,0.0,-5.0
2019-07-23,4133,50.06,28.5,28.6,28.1,28.1,-6.0,0.0,3.0
2019-07-24,4133,58.0,28.25,28.4,28.15,28.3,-8.0,0.0,6.0
2019-07-25,4133,15.08,28.25,28.3,28.15,28.25,1.0,0.0,5.0
2019-07-26,4133,142.47,28.3,29.2,28.3,28.8,0.0,0.0,22.0
2019-07-29,4133,163.03,28.9,29.2,28.5,28.5,-123.0,0.0,-16.0
2019-07-30,4133,39.76,28.8,28.8,28.1,28.2,-1.0,0.0,-4.0
2019-07-31,4133,18.01,28.3,28.3,27.95,28.1,0.0,0.0,1.0
2019-08-01,4133,41.25,27.9,27.9,27.5,27.6,-1.0,0.0,-2.0
2019-08-02,4133,50.03,27.45,27.8,27.3,27.3,0.0,0.0,3.0
2019-08-05,4133,19.0,27.3,27.4,27.05,27.1,-4.0,0.0,1.0
2019-08-06,4133,25.1,26.95,27.85,26.9,27.4,0.0,0.0,0.0
2019-08-07,4133,20.2,27.4,27.6,27.05,27.05,-2.0,0.0,0.0
2019-08-08,4133,867.68,27.15,28.0,26.85,27.7,6.0,0.0,25.0
2019-08-12,4133,56.64,27.4,27.9,27.3,27.5,0.0,0.0,-1.0
2019-08-13,4133,9.17,27.7,27.7,27.5,27.55,0.0,0.0,0.0
2019-08-14,4133,29.2,27.8,27.9,27.3,27.55,-2.0,0.0,-6.0
2019-08-15,4133,24.0,27.3,27.85,27.3,27.3,0.0,0.0,-6.0
2019-08-16,4133,25.08,27.55,27.55,27.35,27.55,0.0,0.0,7.0
2019-08-19,4133,25.0,27.7,27.7,27.35,27.6,-4.0,0.0,-4.0
2019-08-20,4133,13.36,27.65,27.65,27.45,27.55,0.0,0.0,0.0
2019-08-21,4133,32.05,27.85,28.1,27.55,27.9,1.0,0.0,0.0
2019-08-22,4133,93.2,27.65,27.85,27.25,27.3,0.0,0.0,-1.0
2019-08-23,4133,26.18,27.25,27.45,27.05,27.3,0.0,0.0,-2.0
2019-08-26,4133,22.02,27.5,27.7,26.95,27.1,-1.0,0.0,2.0
2019-08-27,4133,53.11,27.7,27.7,27.15,27.25,0.0,0.0,4.0
2019-08-28,4133,71.0,27.15,27.25,26.85,27.15,0.0,0.0,-1.0
2019-08-29,4133,44.03,26.9,27.25,26.8,27.2,-1.0,0.0,8.0
2019-08-30,4133,101.66,27.15,27.2,26.7,26.95,0.0,0.0,-2.0
2019-09-02,4133,140.01,26.85,27.45,26.85,27.45,0.0,0.0,8.0
2019-09-03,4133,149.06,27.45,27.55,27.2,27.55,122.0,0.0,-5.0
2019-09-04,4133,88.04,27.65,28.45,27.65,28.05,31.0,0.0,6.0
2019-09-05,4133,116.32,28.25,28.45,28.2,28.35,35.0,0.0,0.0
2019-09-06,4133,69.03,28.5,28.5,28.25,28.3,41.0,0.0,-3.0
2019-09-09,4133,27.0,28.4,28.4,28.0,28.3,4.0,0.0,0.0
2019-09-10,4133,27.08,28.2,28.35,28.0,28.05,-1.0,0.0,-1.0
2019-09-11,4133,27.26,28.15,28.9,28.0,28.25,-1.0,0.0,0.0
2019-09-12,4133,19.04,28.45,28.45,27.85,27.9,0.0,0.0,2.0
2019-09-16,4133,40.16,28.0,28.0,27.5,27.7,-1.0,0.0,-6.0
2019-09-17,4133,52.0,27.75,27.9,27.7,27.85,2.0,0.0,2.0
2019-09-18,4133,26.39,27.6,27.8,27.4,27.7,2.0,0.0,4.0
2019-09-19,4133,73.37,27.5,27.5,27.2,27.2,0.0,0.0,2.0
2019-09-20,4133,41.29,27.3,28.3,27.2,27.3,0.0,0.0,-1.0
2019-09-23,4133,77.07,27.5,28.5,27.5,28.05,22.0,0.0,10.0
2019-09-24,4133,58.61,28.1,28.2,28.0,28.1,35.0,0.0,-15.0
2019-09-25,4133,43.0,28.45,28.45,28.0,28.1,0.0,0.0,-2.0
2019-09-26,4133,19.07,28.3,28.4,27.7,27.95,0.0,0.0,-3.0
2019-09-27,4133,126.57,27.9,28.4,27.9,28.35,75.0,0.0,-4.0
2019-10-01,4133,105.04,28.5,28.6,28.4,28.45,75.0,0.0,-3.0
2019-10-02,4133,37.05,28.45,28.5,28.15,28.2,0.0,0.0,-8.0
2019-10-03,4133,26.0,28.2,28.3,27.95,28.1,0.0,0.0,-2.0
2019-10-04,4133,36.0,28.3,28.3,27.85,28.15,-3.0,0.0,4.0
2019-10-07,4133,28.04,27.9,28.35,27.85,28.1,3.0,0.0,-2.0
2019-10-08,4133,21.11,28.25,28.25,27.95,28.0,0.0,0.0,-13.0
2019-10-09,4133,12.04,27.95,28.2,27.8,27.95,0.0,0.0,3.0
2019-10-14,4133,31.46,28.15,28.15,27.6,27.95,-2.0,0.0,1.0
2019-10-15,4133,4.06,27.95,27.95,27.65,27.95,0.0,0.0,-1.0
2019-10-16,4133,31.04,28.0,28.1,27.7,27.95,-6.0,0.0,-5.0
2019-10-17,4133,14.24,28.05,28.05,27.6,27.95,0.0,0.0,0.0
2019-10-18,4133,10.45,27.9,27.95,27.65,27.95,0.0,0.0,1.0
2019-10-21,4133,26.53,28.05,28.05,27.8,27.95,-1.0,0.0,-1.0
2019-10-22,4133,21.05,28.15,28.15,27.85,27.95,5.0,0.0,-2.0
2019-10-23,4133,15.01,28.1,28.1,27.7,27.9,0.0,0.0,2.0
2019-10-24,4133,30.06,27.7,27.75,27.6,27.6,0.0,0.0,7.0
2019-10-25,4133,19.0,27.75,27.75,27.45,27.45,0.0,0.0,-7.0
2019-10-28,4133,26.8,27.4,27.55,27.4,27.45,0.0,0.0,0.0
2019-10-29,4133,106.3,27.45,27.85,27.4,27.6,-7.0,0.0,8.0
2019-10-30,4133,175.21,27.9,29.25,27.65,28.3,1.0,0.0,21.0
2019-10-31,4133,134.04,28.4,28.65,27.3,28.5,0.0,0.0,-18.0
2019-11-01,4133,59.83,28.5,28.6,28.1,28.4,0.0,0.0,6.0
2019-11-04,4133,94.35,28.55,28.65,28.3,28.4,0.0,0.0,17.0
2019-11-05,4133,104.36,28.4,28.4,28.2,28.2,-65.0,0.0,20.0
2019-11-06,4133,85.33,28.2,28.2,27.6,27.6,-15.0,0.0,4.0
2019-11-07,4133,137.55,27.85,27.85,27.15,27.3,-7.0,0.0,-7.0
2019-11-08,4133,84.34,27.8,27.8,27.25,27.25,-47.0,0.0,25.0
2019-11-11,4133,91.4,27.15,27.25,26.65,26.9,-9.0,0.0,-3.0
2019-11-12,4133,21.27,26.9,26.9,26.7,26.9,-5.0,0.0,-6.0
2019-11-13,4133,56.17,27.15,27.15,26.85,26.9,-36.0,0.0,27.0
2019-11-14,4133,51.11,26.8,27.0,26.6,26.7,-9.0,0.0,-25.0
2019-11-15,4133,26.0,26.8,26.85,26.6,26.7,0.0,0.0,-2.0
2019-11-18,4133,48.05,26.6,26.6,26.35,26.4,-1.0,0.0,4.0
2019-11-19,4133,57.36,26.35,27.0,26.35,26.9,0.0,0.0,-2.0
2019-11-20,4133,24.5,27.05,27.05,26.65,27.0,3.0,0.0,-2.0
2019-11-21,4133,32.08,27.05,27.1,26.7,26.85,-14.0,0.0,-1.0
2019-11-22,4133,362.0,26.95,26.95,26.8,26.85,-265.0,0.0,100.0
2019-11-25,4133,77.0,26.85,26.9,26.7,26.9,-23.0,0.0,6.0
2019-11-26,4133,61.02,26.95,27.2,26.75,26.9,-10.0,0.0,1.0
2019-11-27,4133,29.06,27.0,27.1,26.8,26.9,-7.0,0.0,1.0
2019-11-28,4133,50.76,26.75,26.95,26.75,26.9,-33.0,0.0,11.0
2019-11-29,4133,29.0,26.8,26.8,26.55,26.8,-4.0,0.0,-2.0
2019-12-02,4133,15.53,26.8,26.8,26.5,26.7,0.0,0.0,0.0
2019-12-03,4133,30.3,26.8,26.8,26.5,26.7,-5.0,0.0,-2.0
2019-12-04,4133,41.6,26.5,26.6,26.2,26.35,-5.0,0.0,-1.0
2019-12-05,4133,51.32,26.35,26.45,26.15,26.3,0.0,0.0,7.0
2019-12-06,4133,152.42,26.4,26.45,25.7,25.8,0.0,0.0,42.0
2019-12-09,4133,41.2,25.7,25.9,25.65,25.85,0.0,0.0,-8.0
2019-12-10,4133,27.04,25.7,26.05,25.7,25.85,-1.0,0.0,0.0
2019-12-11,4133,52.11,25.75,26.2,25.75,25.95,1.0,0.0,0.0
2019-12-12,4133,34.15,25.85,25.95,25.75,25.9,0.0,0.0,0.0
2019-12-13,4133,37.32,26.05,26.05,25.7,25.8,-1.0,0.0,-1.0
2019-12-16,4133,29.18,25.8,26.15,25.8,26.1,11.0,0.0,0.0
2019-12-17,4133,65.83,26.2,26.2,25.9,26.0,-30.0,0.0,3.0
2019-12-18,4133,211.65,25.85,26.0,25.75,25.8,10.0,0.0,0.0
2019-12-19,4133,36.64,25.8,25.85,25.65,25.85,-2.0,0.0,0.0
2019-12-20,4133,140.99,25.95,26.1,25.75,25.9,-90.0,0.0,4.0
2019-12-23,4133,10.26,25.95,26.0,25.8,25.9,0.0,0.0,0.0
